HUB,GERENCIA,Nombre Proyecto,Máscara PEP del proyecto,Especialidad,Código de MR,Ítem MR,Descripción del item,Área de instalación 1 (Sistema),Estado del Proceso de Aprovisionamiento,Proveedor,Fecha requerida,Fecha proyectada llegada,Estado de Inspección del Ítem,dias_atraso,semaforo
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-969,MEC._TUBERÍA,000-MR-PI15-0342,11,ITEM DEMO 1 — MEC._TUBERÍA,OFFSITES,OC EMITIDA,DELTA EQUIPOS S.A.S.,2024-06-10,2023-11-30,No requiere inspección,157,AMARILLO
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-268,MEC._ACCESORIOS,001-MR-PI13-0488,1,ITEM DEMO 2 — MEC._ACCESORIOS,OFFSITES,EN FABRICACIÓN,DELTA EQUIPOS S.A.S.,2024-04-17,2024-03-13,En programación,261,AMARILLO
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-403,MEC._ACCESORIOS,002-MR-PI13-0322,4,ITEM DEMO 3 — MEC._ACCESORIOS,TANKAGE,EN PROCESO DE COMPRA,PROVEEDOR ALPHA S.A.,2023-09-04,2023-09-13,Rechazado,79,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-588,MEC._ACCESORIOS,003-MR-PI13-0614,34,ITEM DEMO 4 — MEC._ACCESORIOS,VACUUM UNIT,RECIBIDO EN SITIO,EPSILON VALVES CO.,2023-07-10,2022-12-11,Liberado,-197,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-169,MEC._TUBERÍA,004-MR-PI15-0791,16,ITEM DEMO 5 — MEC._TUBERÍA,OFFSITES,RECIBIDO EN SITIO,EPSILON VALVES CO.,2024-04-10,2023-11-17,No requiere inspección,144,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-529,MEC._TUBERÍA,005-MR-PI15-0773,38,ITEM DEMO 6 — MEC._TUBERÍA,TANKAGE,EN PROCESO DE COMPRA,GAMMA SUPPLIES INC.,2023-11-23,2023-04-17,En programación,-70,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-505,MEC._ESTÁTICA,006-MR-ME01-0234,43,ITEM DEMO 7 — MEC._ESTÁTICA,FLARE SYSTEM,EN FABRICACIÓN,DELTA EQUIPOS S.A.S.,2023-05-15,2023-02-24,En programación,-122,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-736,MEC._ACCESORIOS,007-MR-PI13-0676,7,ITEM DEMO 8 — MEC._ACCESORIOS,CRUDE UNIT,EN PROCESO DE COMPRA,BETA INDUSTRIAL LTDA.,2024-05-20,2023-10-30,No Aceptado,126,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-170,MEC._VÁLVULAS,008-MR-PI14-0350,24,ITEM DEMO 9 — MEC._VÁLVULAS,UTILITIES,EN TRÁNSITO,DELTA EQUIPOS S.A.S.,2023-06-15,2022-12-24,No Aceptado,-184,AMARILLO
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-926,MEC._ACCESORIOS,009-MR-PI13-0769,34,ITEM DEMO 10 — MEC._ACCESORIOS,CRUDE UNIT,EN PROCESO DE COMPRA,GAMMA SUPPLIES INC.,2024-01-26,2023-11-01,Rechazado,128,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-209,MEC._ACCESORIOS,010-MR-PI13-0860,36,ITEM DEMO 11 — MEC._ACCESORIOS,VACUUM UNIT,EN FABRICACIÓN,GAMMA SUPPLIES INC.,2023-03-25,2022-10-04,No Aceptado,-265,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-749,MEC._VÁLVULAS,011-MR-PI14-0973,17,ITEM DEMO 12 — MEC._VÁLVULAS,TANKAGE,OC EMITIDA,GAMMA SUPPLIES INC.,2023-05-18,2023-03-14,Liberado,-104,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-145,MEC._ACCESORIOS,012-MR-PI13-0103,22,ITEM DEMO 13 — MEC._ACCESORIOS,VACUUM UNIT,EN FABRICACIÓN,BETA INDUSTRIAL LTDA.,2023-03-19,2023-02-23,Rechazado,-123,ROJO
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-214,MEC._ACCESORIOS,013-MR-PI13-0177,45,ITEM DEMO 14 — MEC._ACCESORIOS,VACUUM UNIT,EN PROCESO DE COMPRA,PROVEEDOR ALPHA S.A.,2023-09-14,2023-08-23,En programación,58,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-142,MEC._TUBERÍA,014-MR-PI15-0415,24,ITEM DEMO 15 — MEC._TUBERÍA,CRUDE UNIT,EN FABRICACIÓN,BETA INDUSTRIAL LTDA.,2023-11-25,2023-06-13,Rechazado,-13,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-673,MEC._VÁLVULAS,015-MR-PI14-0995,27,ITEM DEMO 16 — MEC._VÁLVULAS,TANKAGE,EN TRÁNSITO,BETA INDUSTRIAL LTDA.,2023-06-07,2022-12-01,No requiere inspección,-207,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-125,MEC._ACCESORIOS,016-MR-PI13-0283,48,ITEM DEMO 17 — MEC._ACCESORIOS,UTILITIES,OC EMITIDA,ZETA FITTINGS CORP.,2024-06-13,2024-01-15,Rechazado,203,ROJO
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-906,MEC._VÁLVULAS,017-MR-PI14-0818,7,ITEM DEMO 18 — MEC._VÁLVULAS,OFFSITES,RECIBIDO EN SITIO,DELTA EQUIPOS S.A.S.,2024-03-21,2023-11-29,No requiere inspección,156,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-940,INST._Y_CONTROL,018-MR-IN01-0914,15,ITEM DEMO 19 — INST._Y_CONTROL,VACUUM UNIT,RECIBIDO EN SITIO,ZETA FITTINGS CORP.,2023-05-13,2023-05-08,No requiere inspección,-49,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-171,MEC._ACCESORIOS,019-MR-PI13-0891,18,ITEM DEMO 20 — MEC._ACCESORIOS,UTILITIES,EN PROCESO DE COMPRA,DELTA EQUIPOS S.A.S.,2023-08-23,2023-06-12,Rechazado,-14,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-218,INST._Y_CONTROL,020-MR-IN01-0998,17,ITEM DEMO 21 — INST._Y_CONTROL,VACUUM UNIT,EN PROCESO DE COMPRA,GAMMA SUPPLIES INC.,2024-06-16,2024-04-06,Liberado,285,AMARILLO
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-905,MEC._TUBERÍA,021-MR-PI15-0421,28,ITEM DEMO 22 — MEC._TUBERÍA,TANKAGE,EN PROCESO DE COMPRA,PROVEEDOR ALPHA S.A.,2023-03-27,2023-03-09,Parcial liberado,-109,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-825,MEC._ACCESORIOS,022-MR-PI13-0546,1,ITEM DEMO 23 — MEC._ACCESORIOS,TANKAGE,EN PROCESO DE COMPRA,ZETA FITTINGS CORP.,2024-05-05,2023-12-14,Rechazado,171,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-171,MEC._ACCESORIOS,023-MR-PI13-0780,22,ITEM DEMO 24 — MEC._ACCESORIOS,TANKAGE,EN FABRICACIÓN,ZETA FITTINGS CORP.,2024-05-26,2024-01-07,Liberado,195,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-782,ELÉCTRICA,024-MR-EL01-0518,21,ITEM DEMO 25 — ELÉCTRICA,OFFSITES,EN FABRICACIÓN,EPSILON VALVES CO.,2024-02-03,2023-11-08,No requiere inspección,135,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-488,MEC._ACCESORIOS,025-MR-PI13-0793,48,ITEM DEMO 26 — MEC._ACCESORIOS,VACUUM UNIT,EN PROCESO DE COMPRA,EPSILON VALVES CO.,2023-05-09,2023-04-14,En programación,-73,ROJO
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-315,MEC._ACCESORIOS,026-MR-PI13-0540,38,ITEM DEMO 27 — MEC._ACCESORIOS,TANKAGE,EN FABRICACIÓN,DELTA EQUIPOS S.A.S.,2023-08-26,2022-12-29,Parcial liberado,-179,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-912,MEC._ACCESORIOS,027-MR-PI13-0915,48,ITEM DEMO 28 — MEC._ACCESORIOS,VACUUM UNIT,RECIBIDO EN SITIO,GAMMA SUPPLIES INC.,2023-09-14,2023-05-06,No Aceptado,-51,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-869,INST._Y_CONTROL,028-MR-IN01-0340,44,ITEM DEMO 29 — INST._Y_CONTROL,UTILITIES,EN TRÁNSITO,BETA INDUSTRIAL LTDA.,2024-01-05,2023-10-28,No requiere inspección,124,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-586,MEC._TUBERÍA,029-MR-PI15-0725,50,ITEM DEMO 30 — MEC._TUBERÍA,CRUDE UNIT,OC EMITIDA,DELTA EQUIPOS S.A.S.,2023-02-12,2022-07-10,Rechazado,-351,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-493,INST._Y_CONTROL,030-MR-IN01-0606,26,ITEM DEMO 31 — INST._Y_CONTROL,VACUUM UNIT,EN TRÁNSITO,ZETA FITTINGS CORP.,2023-11-21,2023-07-03,Rechazado,7,ROJO
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-324,MEC._TUBERÍA,031-MR-PI15-0280,45,ITEM DEMO 32 — MEC._TUBERÍA,TANKAGE,OC EMITIDA,PROVEEDOR ALPHA S.A.,2023-02-02,2022-07-31,No Aceptado,-330,ROJO
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-920,MEC._VÁLVULAS,032-MR-PI14-0575,43,ITEM DEMO 33 — MEC._VÁLVULAS,TANKAGE,EN PROCESO DE COMPRA,EPSILON VALVES CO.,2023-06-07,2022-12-11,En programación,-197,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-836,MEC._ROTATIVA,033-MR-RO01-0616,28,ITEM DEMO 34 — MEC._ROTATIVA,TANKAGE,OC EMITIDA,BETA INDUSTRIAL LTDA.,2024-05-31,2024-05-17,Rechazado,326,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-869,MEC._ACCESORIOS,034-MR-PI13-0353,41,ITEM DEMO 35 — MEC._ACCESORIOS,UTILITIES,EN PROCESO DE COMPRA,DELTA EQUIPOS S.A.S.,2024-04-16,2024-04-19,Rechazado,298,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-830,MEC._VÁLVULAS,035-MR-PI14-0392,16,ITEM DEMO 36 — MEC._VÁLVULAS,UTILITIES,EN FABRICACIÓN,GAMMA SUPPLIES INC.,2023-06-02,2023-02-22,No Aceptado,-124,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-492,INST._Y_CONTROL,036-MR-IN01-0810,10,ITEM DEMO 37 — INST._Y_CONTROL,FLARE SYSTEM,EN TRÁNSITO,PROVEEDOR ALPHA S.A.,2023-03-13,2022-09-24,Parcial liberado,-275,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-525,MEC._TUBERÍA,037-MR-PI15-0163,14,ITEM DEMO 38 — MEC._TUBERÍA,OFFSITES,OC EMITIDA,EPSILON VALVES CO.,2023-08-27,2023-06-17,Rechazado,-9,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-460,INST._Y_CONTROL,038-MR-IN01-0405,49,ITEM DEMO 39 — INST._Y_CONTROL,OFFSITES,OC EMITIDA,EPSILON VALVES CO.,2023-02-10,2022-12-26,Rechazado,-182,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-379,MEC._VÁLVULAS,039-MR-PI14-0546,32,ITEM DEMO 40 — MEC._VÁLVULAS,CRUDE UNIT,OC EMITIDA,GAMMA SUPPLIES INC.,2024-02-11,2023-10-06,Rechazado,102,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-960,MEC._TUBERÍA,040-MR-PI15-0578,9,ITEM DEMO 41 — MEC._TUBERÍA,TANKAGE,EN PROCESO DE COMPRA,PROVEEDOR ALPHA S.A.,2024-01-13,2023-12-11,Parcial liberado,168,ROJO
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-538,MEC._ACCESORIOS,041-MR-PI13-0238,30,ITEM DEMO 42 — MEC._ACCESORIOS,VACUUM UNIT,RECIBIDO EN SITIO,GAMMA SUPPLIES INC.,2023-11-30,2023-04-17,Parcial liberado,-70,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-445,MEC._ACCESORIOS,042-MR-PI13-0879,25,ITEM DEMO 43 — MEC._ACCESORIOS,UTILITIES,OC EMITIDA,GAMMA SUPPLIES INC.,2023-07-17,2023-03-07,Liberado,-111,VERDE
Downstream,Caribe,KAPEXIA DEMO — Refinería Modelo,RC-EPC-153,MEC._ACCESORIOS,043-MR-PI13-0458,15,ITEM DEMO 44 — MEC._ACCESORIOS,FLARE SYSTEM,RECIBIDO EN SITIO,ZETA FITTINGS CORP.,2023-09-28,2023-02-09,Liberado,-137,ROJO
